Question,Count
Which part of the body does this image belong to?,257
What modality is used to take this image?,236
What is the largest organ in the picture?,199
What diseases are included in the picture?,163
Does the picture contain liver?,130
Where is/are the abnormality located?,126
Does the picture contain spleen?,107
Does the picture contain kidney?,101
Does the picture contain heart?,96
Does the picture contain lung?,94
What is the scanning plane of this image?,93
What is the mr weighting in this image?,76
Is the lung healthy?,74
What is the main organ in the image?,72
How many kidneys in this image?,62
Are there abnormalities in this image?,60
"Which organ is abnormal, heart or lung?",54
Where is the liver?,50
Which organ system is imaged?,43
What is the organ on the top of the body in this image?,42
What organ system is pictured?,39
How much damage will be caused to the body taking such an image?,37
Does this image look abnormal?,36
What organ system is primarily present in this image?,35
How many organs are there in this image?,34
How many lungs are shown in this image?,34
What is the organ system visualized?,32
Where does the picture show?,31
Does the picture contain brian?,31
Is the liver healthy?,30
What is the rightmost organ in this image?,30
What is the organ on the left side of this image?,29
Which part do the organs in this image locate from the aspect of the whole body?,28
How many kinds of abnormalities are there in this image?,28
In what plane is this image scanned?,27
What color does the left lung show in the picture?,26
What modality is shown in this image?,26
Which organs/organ is part of the respiratory system in this image?,26
Which part of the human body is the organ located in the image?,26
How was this image taken?,26
Where does the image represent in the body?,26
Does this image look normal?,25
What scanning plane does this image belong to?,25
Is this a study of the chest?,23
"Which plane is the image scanned, transverse plane or coronal plane?",22
Is this sagittal plane?,21
What color is the lung in the picture?,21
What organ is the gray part on the left of the image?,20
Which organs appear in pairs?,19
Which organs/organ in the picture belong to the circulatory system?,19
Which organs/organ in the picture belong to the respiratory system?,19
What color does the right lung show in the picture?,19
Is the brain healthy?,19
What organ is the black part on the left of the image?,18
Where is the abnormality in this image?,18
How many existing heart in this image?,18
Is this a transverse plane?,18
Is this a study of the head?,18
Which organs/organ in the picture belong to the digestive system?,18
Does the brain look abnormal?,18
"Which is the biggest in this image,lung,liver or heart?",17
Is this image normal?,17
Is this a transverse section?,17
What is the function of the main organ in this picture?,15
Is the lung abnormal?,15
Is this a coronal section?,15
What type of MRI is shown in this image?,15
Which organs/organ is part of the digestive system in this image?,15
What is the effect of the main organ in this picture?,14
What imaging modality was used?,14
Is this image taken via X-Ray?,14
Does the picture contain spinal cord?,14
Is/Are there abnormalities in the patient's right lung?,13
Is this a CT?,13
Which organs/organ is part of the circulatory system in this image?,13
Is this a study of the neck?,13
What is the shape of the kidney in the picture?,12
Is this image taken via CT?,12
"Which type of modality is shown about this image, MRI, CT or X-Ray?",12
What is the effect of the center organ in this picture?,12
Is there a liver in the image?,12
How to treat the most severe disease in this image?,12
Is this a study of the pelvic cavity?,11
What can the organ with black color in this image be used for?,11
How to treat the disease located on the left of lung in this image?,11
Do the organs in the image exist in the pelvic cavity?,11
Do the organs in the image exist in the head?,11
Is there small bowel in this image?,11
Do any of the organs in the picture belong to the urinary system?,11
Is this an MRI image with T2 weighted?,11
Does the picture contain colon?,11
Does the lung look abnormal?,10
"Which is bigger in this image, liver or spleen?",10
Do the organs in the image exist in the chest?,10
Is this a coronal plane?,10
How many existing lungs in this image?,10
Is this a X-Ray?,10
What type of medical image is this?,10
Does the stomach appear in the image?,10
Which organs/organ in the picture belong to the nervous system?,10
What is the function of the organ on the top of this image?,10
Are/Is there kidneys in the picture?,10
Is this an MRI image with T1 weighted?,10
Is this an MRI scan?,9
Where is/are the abnormality located in this picture?,9
"Which side of lung is abnormal in this image,left or right?",9
Is this a study of the abdomen?,9
Is this an MRI?,9
Are there organs in the picture that can perceive things?,9
Does the larynx appear in the image?,9
Do any of the organs in the picture belong to the digestive system?,9
"Which kind of weighting is this image generated with, t1 or t2?",9
Where is the brain edema?,9
Does the picture contain the organ which has the effect of excreting feces?,9
What is the organ located in the lower right corner?,8
Is the lung normal appearing?,8
Where is the heart in this image?,8
Do the organs in the image exist in the abdomen?,8
Do the organs in the image exist in the neck?,8
Does the humerus head exist in this picture?,8
Does the picture contain mandible?,8
Do any of the organs in the picture belong to the respiratory system?,8
Are there organs in the picture that can detoxicate?,8
Is this a T1 weighted or T2 weighted MRI image?,8
What disease is/are shown on the right of brain?,8
"Which is bigger in this image, kidney or liver?",7
Does the spleen look normal?,7
Which is the kidney?,7
Which lobe is abnormal in this image?,7
Is/Are there abnormalities in the patient's left lung?,7
Does the patient have any abnormalities?,7
Is this a CT scan?,7
Which organs/organ in the picture belong to nervous system?,7
Does the temporal lobe appear in this image?,7
Does the picture contain the organ that could be used for absorbing nutrients?,7
Is there femoral head in this picture?,7
Where are the abnormalities in this image?,7
Are there organs in the picture that can digest food?,7
"Which is bigger in this image, heart or lung?",6
Does the kidneys look abnormal?,6
Does the patient have liver cancer?,6
What is the main cause of the disease on the lower left of the lung in the picture?,6
Which lobe is normal in this image?,6
Can pneumonia be observed on the lower right lung in this picture?,6
Which side of lung is abnormal in this image?,6
Is this image taken via MRI?,6
Where is the brain stem in this image?,6
Does the picture contain brain stem?,6
Does the parotid appear in the image?,6
Does the trachea exist in this picture?,6
Does the rectum appear in this picture?,6
What is the shape of spinal cord in this image?,6
Do any of the organs in the picture belong to the lymphatic system?,6
What is the color of abnormality in this image?,6
"Which lobe is abnormal,left or right?",6
Which organs/organ is part of the nervous system in this image?,6
How many lungs have existed in this image?,6
"Which is bigger in this image, kidney or spleen?",5
"Which is bigger in this image, liver or heart?",5
Does the picture contain the organ that could receive sound?,5
Does the picture contain the organ which has the effect of sensing light?,5
Does the picture contain the organ that could be used for digesting food?,5
Are there some organs controlling heartbeat and breathing in this image?,5
Is there an esophagus in this image?,5
"Which hemisphere is abnormal,left or right?",5
Is the tumor enhancing?,5
Which hemisphere is normal?,5
Is/Are there abnormalities in the patient's right brain lobe?,5
Where is the brain non-enhancing tumor?,5
Are there organs in the picture that can absorb nutrients?,5
Which organs/organ in the picture belong to the urinary system?,5
Where is the spleen in this image?,5
Where is the liver in this image?,5
Does the picture contain bladder?,5
How many kidneys are there in this image?,4
What organ is the black hole in the upper right corner?,4
Which is the liver?,4
Does the picture contain stomach?,4
What organ is the white part on the top of the image?,4
Can mass be observed on the lower right lung in this picture?,4
Can nodule be observed on the upper right lung in this picture?,4
What disease is/are shown on the right of lung?,4
How to treat the disease located on the right of lung in this image?,4
Where is/are the pneumonia located?,4
What disease is/are shown on the left of lung?,4
Where is the mass in this image?,4
What part of the lung is the atelectasis located in?,4
What is the main cause of the disease on the lower right of the lung in the picture?,4
Does the picture contain the organ which has the effect of storing urine?,4
Do any of the organs in the picture belong to the nervous system?,4
Does the picture contain the organ that could be used for detoxicating?,4
What is the shape of tooth in this image?,4
Which is larynx in this image?,4
Does the lung exist in this picture?,4
What is the shape of larynx about this patient?,4
Does the picture contain the organ which has the effect of gas delivery?,4
Does the picture contain eyes?,4
Does the picture contain the organ that could be used for secreting enzymes?,4
What organ is the on the top of the image?,4
Are there organs in the picture that can deliver food?,4
Does the picture contain the organ that could be used for discharging waste?,4
What is the effect of the organ on the top of this image?,4
Does the picture contain the organ that could promote blood flow?,4
Does the picture contain the organ which has the effect of detoxicating?,4
Can brain edema be observed in the picture?,4
What kind of symptoms will the disease on the right lobe of brain in the picture bring to the patient?,4
Where is the brain tumor located?,4
Where is the brain tumor?,4
Where is the brain edema located?,4
What disease is/are shown on the left of brain?,4
Is the abnormality hyperdense or hypodense?,4
Does the patient have brain tumor?,4
What kind of symptoms will the disease on the left lobe of brain in the picture bring to the patient?,4
What is the main cause of the disease on the left lobe of brain in this picture?,4
How to prevent the occurrence of the disease on the upper right lobe of brain in this image?,4
Which is the kidney in this image?,4
What is the effect of the gray organ on the left of this picture?,4
How many kidneys have existed in this image?,4
What is the function of the rightmost organ in this picture?,4
What is the effect of the leftmost organ in this picture?,4
Are there organs in the picture that can promote blood flow?,4
Does the lung look normal?,3
Is the lung unhealthy?,3
"Which is bigger in this image, lung or liver?",3
What are the white veins in the black part of the body?,3
"Which is the biggest in this image, liver, spleen or kidney?",3
What organ is the black part on the right of the image?,3
What are the white veins in the black part of the body in this image?,3
What organ is the black part of the image?,3
Does the picture contain esophagus?,3
What organ is the black hole on the top of body?,3
Where is/are the cardiomegaly located?,3
What is the main cause of the disease on the upper left of the lung in the picture?,3
Can atelectasis be observed on the lower right lung in this picture?,3
How to prevent the occurrence of the disease on the heart in this image?,3
What kind of symptoms will the disease on the lower right of lung bring to the patient?,3
What kind of symptoms will the disease on the lower left of lung bring to the patient?,3
Can atelectasis be observed on the lower left lung in this picture?,3
How to prevent the occurrence of the disease on the right lobe of lung in this image?,3
How to prevent the occurrence of the disease on the lower left lobe of lung in this image?,3
Can pneumonia be observed on the upper left lung in this picture?,3
What part of the lung is the pneumonia located in?,3
How many eyes are shown in this image?,3
Which organs/organ in the picture belong to sensory organs?,3
Does the picture contain the organ that could be used for breathing?,3
Does the picture contain the organ which has the effect of adjusting water and osmotic pressure balance?,3
Does the picture contain the organ which has the effect of digesting food?,3
How many temporal lobes in this image?,3
What is the function of the organ on the center of this image?,3
Does the picture contain the organ which has the effect of discharging waste?,3
What organ marks the lower end of the organ system?,3
What color does the spinal cord show in the picture?,3
Does the picture contain the organ that could be used for excreting body waste?,3
What color does the mandible show in the picture?,3
Which is trachea in this image?,3
Is brain tumor white or gray relative to other tissues?,3
What disease is/are shown on the upper left of brain?,3
Is the brain normal appearing?,3
How to prevent the occurrence of the disease on the right lobe of brain in this image?,3
How to prevent the occurrence of the disease on the left lobe of brain in this image?,3
What kind of symptoms will the disease on the upper right lobe of brain in the picture bring to the patient?,3
Which place does the colon locate in this image?,3
What color is the spleen in this image?,3
What is the effect of the black organ on the left of this picture?,3
Does the picture contain the organ which has the effect of improving the body's immunity?,3
What color is the liver in the picture?,3
What is the function of the organs appearing in pairs in the picture?,3
Where is rectum in this image?,3
