Word,Count
train_qword_count,39573
uniqe_train_question_cnt,284
val_qword_count,8868
uniqe_val_question_cnt,245
test_qword_count,8722
uniqe_test_question_cnt,252
train_aword_count,6912
uniqe_train_answer_cnt,275
val_aword_count,1537
uniqe_val_answer_cnt,191
test_aword_count,1558
uniqe_test_answer_cnt,189
common_unique_train_count,230
uncommon_unique_train_count,45
common_unique_val_count,137
uncommon_unique_val_count,54
common_unique_test_count,139
uncommon_unique_test_count,50
